보증금,월세,전용면적,노후도,해당층,전체층,엘리베이터,위도,경도,지하철역_거리(m),세탁소_거리(m),카페_거리(m),약국_거리(m),대형마트_거리(m),편의점_거리(m),버스정류장_거리(m),남향,풀옵션,is_outlier,outlier_reason,PC1,PC2,cluster_0,cluster_1,cluster_2,cluster_3
100,28.0,23.14,6.0,2,3,0,35.840482791565,128.753184990027,469.0,148.0,118.0,303.0,1798.0,101.0,89.0,0,1,0,,0.05608462773365421,-0.45746857971643984,1,0,0,0
100,32.0,23.14,6.0,2,3,0,35.8389804903939,128.751216554929,335.0,220.0,111.0,306.0,1565.0,98.0,321.0,1,1,0,,0.1377021881962684,-0.4211071261175506,0,0,1,0
100,28.0,34.0,6.0,3,3,0,35.8215002216791,128.75540124409,1659.0,81.0,42.0,105.0,2202.0,65.0,124.0,1,1,0,,-0.5229323131996483,0.12766653854173485,0,1,0,0
100,30.0,40.0,6.0,4,4,0,35.8222623889361,128.755895020969,1582.0,161.0,46.0,195.0,2191.0,41.0,216.0,1,1,0,,-0.4196041820679603,0.15660837366343835,0,1,0,0
200,30.0,30.0,6.0,2,4,0,35.8202504558958,128.756516987891,1812.0,95.0,98.0,199.0,2365.0,170.0,99.0,1,1,0,,0.06795707544000944,0.021108792206729062,0,1,0,0
100,28.0,30.0,6.0,1,3,0,35.8215678379678,128.755244844025,1650.0,94.0,27.0,99.0,2186.0,56.0,130.0,1,1,0,,-0.5304025230405826,0.17332742066266985,0,1,0,0
100,28.0,34.0,6.0,1,3,0,35.8210304603124,128.755864120309,1717.0,26.0,74.0,126.0,2266.0,94.0,92.0,1,1,0,,-0.36147840692274624,0.005592027551831154,0,1,0,0
200,35.0,28.5,6.0,2,4,0,35.8396585497473,128.756435134109,495.0,173.0,54.0,74.0,2027.0,54.0,166.0,0,1,0,,-0.46218378927163095,0.19111883201885882,1,0,0,0
100,25.0,30.0,6.0,1,3,0,35.8206883606528,128.756630863438,1766.0,83.0,128.0,197.0,2344.0,123.0,133.0,1,1,0,,0.04592263540309843,-0.0984981838712816,0,1,0,0
100,25.0,30.0,6.0,3,4,0,35.8215617430773,128.757277242412,1684.0,162.0,188.0,262.0,2338.0,86.0,228.0,1,1,0,,0.41002802677830685,-0.20357218886919926,0,0,1,0
100,30.0,33.06,6.0,2,3,0,35.8211290753466,128.755639916012,1703.0,35.0,68.0,107.0,2243.0,84.0,90.0,1,1,0,,-0.4172672253997855,0.03266562514152715,0,1,0,0
