보증금,월세,전용면적,노후도,해당층,전체층,엘리베이터,위도,경도,지하철역_거리(m),세탁소_거리(m),카페_거리(m),약국_거리(m),대형마트_거리(m),편의점_거리(m),버스정류장_거리(m),남향,풀옵션,is_outlier,outlier_reason
300,40.0,49.59,11.0,2,4,False,35.8144905027918,128.728547452002,2175.0,96.0,258.0,384.0,2151.0,30.0,56.0,True,False,True,전용면적_high
200,40.0,49.59,11.0,3,4,True,35.8270661649276,128.735010624171,954.0,126.0,24.0,208.0,660.0,106.0,193.0,True,False,True,전용면적_high
300,58.0,50.0,6.0,3,6,True,35.8389536453154,128.757300952725,499.0,252.0,90.0,71.0,2073.0,90.0,166.0,True,True,True,월세_high 전용면적_high
300,48.0,52.89,24.0,1,3,False,35.8212772994092,128.752214219578,1669.0,149.0,34.0,152.0,1991.0,105.0,48.0,True,False,True,전용면적_high
200,35.0,49.59,6.0,3,4,False,35.8138412585897,128.731081496076,2260.0,141.0,123.0,148.0,2166.0,133.0,139.0,True,False,True,전용면적_high
500,45.0,49.59,6.0,4,4,False,35.8288403300369,128.73959605005,600.0,155.0,201.0,301.0,590.0,177.0,254.0,True,True,True,보증금_high 전용면적_high
3500,2.0,26.44,6.0,3,3,False,35.8430564188446,128.75104597843594,771.0,379.0,111.0,648.0,1793.0,95.0,103.0,True,True,True,월세_low 보증금_high
200,52.0,29.76,6.0,3,3,False,35.8388823282042,128.754016849471,308.0,49.0,26.0,119.0,1792.0,54.0,210.0,False,True,True,월세_high
200,35.0,49.59,14.0,3,4,False,35.8393569350488,128.766441682465,1272.0,162.0,82.0,290.0,2877.0,78.0,56.0,True,False,True,전용면적_high
500,45.0,49.59,6.0,3,4,False,35.8173600907947,128.758193196757,2158.0,250.0,81.0,453.0,2684.0,65.0,93.0,True,True,True,보증금_high 전용면적_high
8000,10.0,34.0,6.0,1,3,False,35.8212326976741,128.755708252686,1692.0,46.0,80.0,116.0,2242.0,84.0,103.0,True,True,True,월세_low 보증금_high
200,40.0,49.56,6.0,4,4,False,35.8308998462076,128.747458622594,677.0,696.0,129.0,844.0,1102.0,155.0,184.0,True,False,True,전용면적_high
300,50.0,30.0,6.0,2,4,True,35.8392882215578,128.756432833482,465.0,170.0,14.0,92.0,2012.0,14.0,188.0,True,True,True,월세_high
300,45.0,49.56,6.0,2,4,False,35.8173600907954,128.758193196756,2158.0,250.0,81.0,453.0,2684.0,65.0,93.0,False,False,True,전용면적_high
1000,92.0,39.54,6.0,7,15,True,35.8336796787994,128.743877290366,258.0,389.0,2.0,749.0,758.0,2.0,148.0,True,False,True,월세_high 보증금_high
300,45.0,49.59,6.0,2,4,False,35.8173600907947,128.758193196757,2158.0,250.0,81.0,453.0,2684.0,65.0,93.0,False,True,True,전용면적_high
500,40.0,36.36,6.0,2,3,False,35.8071214688538,128.753216246926,3194.0,499.0,212.0,500.0,3290.0,290.0,131.0,True,True,True,보증금_high
500,50.0,52.89,11.0,3,4,False,35.8153801847056,128.75458297417,2329.0,191.0,121.0,252.0,2606.0,38.0,191.0,True,True,True,월세_high 보증금_high 전용면적_high
30,16.0,49.58,6.0,1,3,False,35.842186310850295,128.7499068387001,709.0,327.0,37.0,640.0,1652.0,71.0,47.0,True,False,True,월세_low 전용면적_high
4500,5.0,26.45,6.0,3,3,False,35.83902076655612,128.75193999493786,316.0,154.0,101.0,264.0,1626.0,52.0,280.0,False,True,True,월세_low 보증금_high
6000,10.0,33.1,6.0,2,4,False,35.8398100288197,128.762434433632,949.0,241.0,39.0,198.0,2543.0,202.0,68.0,True,True,True,월세_low 보증금_high
300,50.0,27.0,6.0,2,4,False,35.8378716545081,128.752563893814,179.0,177.0,51.0,134.0,1630.0,56.0,148.0,True,True,True,월세_high
200,40.0,49.58,6.0,4,4,False,35.8308998462069,128.747458622594,677.0,696.0,129.0,844.0,1102.0,155.0,184.0,True,True,True,전용면적_high
500,55.0,40.0,6.0,4,4,False,35.8395670517369,128.756542236264,494.0,181.0,46.0,68.0,2032.0,46.0,162.0,True,True,True,월세_high 보증금_high
500,50.0,37.5,6.0,2,4,False,35.8153801847063,128.75458297417,2329.0,191.0,121.0,252.0,2606.0,38.0,191.0,True,True,True,월세_high 보증금_high
500,35.0,40.0,6.0,2,4,False,35.828833901731,128.739822198253,597.0,175.0,191.0,315.0,604.0,195.0,244.0,True,True,True,보증금_high
300,50.0,40.0,6.0,2,4,True,35.8392882215578,128.756432833482,465.0,170.0,14.0,92.0,2012.0,14.0,188.0,True,True,True,월세_high
500,50.0,49.58,6.0,4,4,False,35.8158668008986,128.762956229171,2445.0,296.0,120.0,604.0,3122.0,248.0,109.0,True,False,True,월세_high 보증금_high 전용면적_high
500,55.0,45.0,6.0,3,4,False,35.8372289660543,128.751736359274,146.0,279.0,49.0,149.0,1537.0,107.0,188.0,True,True,True,월세_high 보증금_high
300,50.0,30.0,6.0,2,4,False,35.8378716545081,128.752563893814,179.0,177.0,51.0,134.0,1630.0,56.0,148.0,False,True,True,월세_high
2000,40.0,27.6,6.0,2,4,False,35.8169309303019,128.72776526796,1904.0,211.0,232.0,342.0,1917.0,278.0,187.0,True,False,True,보증금_high
300,50.0,40.0,6.0,2,4,True,35.8392882215578,128.756432833482,465.0,170.0,14.0,92.0,2012.0,14.0,188.0,True,True,True,월세_high
500,45.0,49.59,6.0,3,4,False,35.8174412187687,128.75808667108,2147.0,263.0,94.0,443.0,2671.0,69.0,104.0,True,False,True,보증금_high 전용면적_high
500,45.0,35.5,6.0,3,4,True,35.8157310300643,128.738316109172,2058.0,349.0,176.0,321.0,1936.0,431.0,72.0,True,False,True,보증금_high
1000,25.0,35.0,6.0,3,4,False,35.8382768694627,128.764705045588,1091.0,225.0,109.0,324.0,2697.0,102.0,36.0,True,True,True,보증금_high
300,60.0,40.0,6.0,2,3,False,35.843841766551,128.757555006382,942.0,329.0,183.0,410.0,2325.0,72.0,249.0,True,True,True,월세_high
300,52.0,40.0,6.0,4,4,False,35.8392954893512,128.758806395796,633.0,383.0,141.0,78.0,2214.0,34.0,84.0,True,True,True,월세_high
500,50.0,39.67,6.0,2,3,False,35.8372289660536,128.751736359274,146.0,279.0,49.0,149.0,1537.0,107.0,188.0,False,True,True,월세_high 보증금_high
100,35.0,50.0,6.0,3,4,False,35.8244921905042,128.738557415408,1093.0,322.0,56.0,90.0,984.0,46.0,113.0,True,False,True,전용면적_high
500,39.0,49.59,6.0,3,4,True,35.8280677151368,128.737490156119,745.0,118.0,97.0,136.0,576.0,32.0,240.0,True,False,True,보증금_high 전용면적_high
1000,45.0,59.5,6.0,3,4,False,35.8145978135243,128.753793637868,2412.0,235.0,71.0,242.0,2627.0,110.0,95.0,True,False,True,보증금_high 전용면적_high
500,40.0,50.0,6.0,4,4,False,35.8097195112824,128.759074792766,3006.0,113.0,29.0,137.0,3348.0,70.0,161.0,False,False,True,보증금_high 전용면적_high
300,45.0,48.5,7.0,2,3,False,35.8170973997749,128.739655859676,1895.0,187.0,17.0,227.0,1806.0,243.0,198.0,True,False,True,전용면적_high
300,43.0,49.59,6.0,2,4,False,35.8188071758624,128.754860320795,1951.0,118.0,25.0,204.0,2352.0,259.0,138.0,True,False,True,전용면적_high
500,50.0,49.59,6.0,2,4,True,35.8146505987073,128.755825385599,2420.0,67.0,43.0,218.0,2741.0,176.0,98.0,True,False,True,월세_high 보증금_high 전용면적_high
200,45.0,56.2,6.0,2,4,False,35.8122967655743,128.76104778245,2767.0,118.0,16.0,197.0,3255.0,118.0,69.0,True,True,True,전용면적_high
200,40.0,49.59,6.0,2,3,False,35.8107642198599,128.758752455538,2886.0,201.0,146.0,79.0,3240.0,51.0,151.0,True,False,True,전용면적_high
500,40.0,25.5,6.0,1,4,False,35.8095022830291,128.759171003505,3031.0,88.0,13.0,144.0,3372.0,88.0,167.0,True,True,True,보증금_high
1000,35.0,56.2,6.0,2,4,False,35.811082310214,128.760180950181,2878.0,126.0,99.0,86.0,3299.0,126.0,52.0,True,True,True,보증금_high 전용면적_high
500,45.0,49.59,6.0,3,4,False,35.8175755764862,128.759078078945,2154.0,240.0,67.0,532.0,2730.0,139.0,43.0,True,False,True,보증금_high 전용면적_high
500,50.0,30.0,6.0,7,7,True,35.84146636018,128.760352385088,889.0,443.0,17.0,130.0,2430.0,149.0,134.0,True,True,True,월세_high 보증금_high
500,44.0,39.67,6.0,2,4,True,35.8363880269208,128.727132741438,282.0,108.0,108.0,156.0,656.0,70.0,144.0,True,False,True,보증금_high
500,45.0,25.5,6.0,3,4,False,35.819422215983,128.748206619449,1755.0,210.0,56.0,453.0,1894.0,149.0,67.0,True,False,True,보증금_high
500,40.0,35.5,6.0,3,4,False,35.8171935918045,128.748036264625,1983.0,363.0,192.0,427.0,2088.0,230.0,210.0,True,False,True,보증금_high
500,45.0,35.5,6.0,4,4,False,35.8237812671939,128.734418514648,1266.0,25.0,25.0,75.0,1029.0,50.0,129.0,True,False,True,보증금_high
500,45.0,45.0,6.0,2,4,False,35.8394277946885,128.761744809388,874.0,312.0,97.0,232.0,2471.0,203.0,136.0,True,True,True,보증금_high
200,35.0,49.56,6.0,2,4,False,35.816053075972,128.763072091114,2430.0,309.0,123.0,627.0,3118.0,254.0,93.0,True,False,True,전용면적_high
300,45.0,45.5,6.0,3,4,False,35.8175755764862,128.759078078945,2154.0,240.0,67.0,532.0,2730.0,139.0,43.0,True,True,True,전용면적_high
500,45.0,45.5,6.0,2,4,True,35.8185379932487,128.756304773897,1997.0,233.0,50.0,301.0,2469.0,232.0,173.0,False,False,True,보증금_high 전용면적_high
300,35.0,49.56,6.0,3,4,False,35.8288403300369,128.73959605005,600.0,155.0,201.0,301.0,590.0,177.0,254.0,True,True,True,전용면적_high
200,45.0,49.56,6.0,3,4,False,35.8122967655743,128.76104778245,2767.0,118.0,16.0,197.0,3255.0,118.0,69.0,True,False,True,전용면적_high
300,40.0,49.59,11.0,5,6,True,35.8223643417416,128.738035113655,1334.0,108.0,57.0,139.0,1203.0,79.0,219.0,True,False,True,전용면적_high
300,50.0,49.59,6.0,3,4,False,35.8392882215571,128.756432833482,465.0,170.0,14.0,92.0,2012.0,14.0,188.0,True,True,True,월세_high 전용면적_high
200,38.0,49.59,6.0,3,3,False,35.8445722692253,128.750552709958,945.0,330.0,201.0,803.0,1870.0,110.0,213.0,True,False,True,전용면적_high
300,45.0,49.59,6.0,2,4,True,35.8401419079707,128.759453026634,734.0,422.0,47.0,104.0,2300.0,84.0,47.0,True,True,True,전용면적_high
500,45.0,49.59,13.0,3,4,False,35.8097195112824,128.759074792766,3006.0,113.0,29.0,137.0,3348.0,70.0,161.0,True,False,True,보증금_high 전용면적_high
300,40.0,49.59,6.0,2,4,True,35.8426857229954,128.759444477589,928.0,406.0,161.0,249.0,2412.0,94.0,59.0,True,False,True,전용면적_high
300,42.0,49.59,6.0,3,4,False,35.8237291589159,128.734307728962,1267.0,27.0,27.0,81.0,1035.0,62.0,133.0,True,True,True,전용면적_high
