보증금,월세,전용면적,노후도,해당층,전체층,엘리베이터,위도,경도,지하철역_거리(m),세탁소_거리(m),카페_거리(m),약국_거리(m),대형마트_거리(m),편의점_거리(m),버스정류장_거리(m),남향,풀옵션,is_outlier,outlier_reason
100,30.0,40.0,6.0,4,4,False,35.8222623889361,128.755895020969,1582.0,161.0,46.0,195.0,2191.0,41.0,216.0,True,True,False,None
200,30.0,30.0,6.0,2,4,False,35.8202504558958,128.756516987891,1812.0,95.0,98.0,199.0,2365.0,170.0,99.0,True,True,False,None
100,28.0,30.0,6.0,1,3,False,35.8215678379678,128.755244844025,1650.0,94.0,27.0,99.0,2186.0,56.0,130.0,True,True,False,None
100,28.0,34.0,6.0,1,3,False,35.8210304603124,128.755864120309,1717.0,26.0,74.0,126.0,2266.0,94.0,92.0,True,True,False,None
200,35.0,28.5,6.0,2,4,False,35.8396585497473,128.756435134109,495.0,173.0,54.0,74.0,2027.0,54.0,166.0,False,True,False,None
100,25.0,30.0,6.0,1,3,False,35.8206883606528,128.756630863438,1766.0,83.0,128.0,197.0,2344.0,123.0,133.0,True,True,False,None
100,25.0,30.0,6.0,3,4,False,35.8215617430773,128.757277242412,1684.0,162.0,188.0,262.0,2338.0,86.0,228.0,True,True,False,None
100,30.0,33.06,6.0,2,3,False,35.8211290753466,128.755639916012,1703.0,35.0,68.0,107.0,2243.0,84.0,90.0,True,True,False,None
100,27.0,30.0,6.0,3,4,False,35.8206483628293,128.755563274142,1755.0,24.0,32.0,103.0,2270.0,103.0,43.0,True,True,False,None
200,37.0,30.0,6.0,3,4,False,35.8200187284765,128.756359970055,1835.0,106.0,71.0,198.0,2369.0,195.0,80.0,True,True,False,None
100,25.0,29.75,6.0,4,4,False,35.8215617430766,128.757277242413,1684.0,162.0,188.0,262.0,2338.0,86.0,228.0,False,True,False,None
100,28.0,29.75,6.0,1,3,False,35.8215678379671,128.755244844025,1650.0,94.0,27.0,99.0,2186.0,56.0,130.0,True,True,False,None
4500,5.0,30.0,6.0,1,3,True,35.8233251312041,128.754417512895,1447.0,159.0,137.0,266.0,2015.0,139.0,242.0,True,True,True,월세_low 보증금_high
4000,3.0,33.06,6.0,1,3,False,35.8216829867977,128.757699478556,1680.0,202.0,219.0,303.0,2363.0,122.0,267.0,True,True,True,월세_low 보증금_high
100,30.0,33.06,6.0,1,3,False,35.8210304603124,128.755864120309,1717.0,26.0,74.0,126.0,2266.0,94.0,92.0,True,True,False,None
100,25.0,29.75,6.0,1,3,False,35.8206883606521,128.756630863439,1766.0,83.0,128.0,197.0,2344.0,123.0,133.0,True,True,False,None
4500,5.0,26.4,6.0,1,3,False,35.8233248697366,128.754404561486,1447.0,158.0,138.0,266.0,2014.0,140.0,241.0,True,True,True,월세_low 보증금_high
100,30.0,33.06,6.0,3,3,False,35.82112807638053,128.7556404472357,1703.0,35.0,68.0,107.0,2243.0,84.0,90.0,True,True,False,None
200,45.0,49.59,6.0,2,4,False,35.8220893156447,128.756651117044,1614.0,164.0,116.0,235.0,2259.0,44.0,229.0,False,True,True,전용면적_high
200,40.0,29.7,6.0,3,4,False,35.8236163187539,128.75383494861,1411.0,149.0,187.0,304.0,1953.0,200.0,235.0,False,True,False,None
200,30.0,29.75,6.0,2,4,False,35.82024300647532,128.7565149428241,1813.0,96.0,98.0,200.0,2365.0,171.0,99.0,True,True,False,None
100,30.0,29.75,6.0,2,3,False,35.8216829867977,128.757699478556,1680.0,202.0,219.0,303.0,2363.0,122.0,267.0,False,True,False,None
200,35.0,26.44,6.0,2,3,False,35.83862215248308,128.75430837434982,292.0,85.0,65.0,80.0,1807.0,91.0,186.0,False,True,False,None
100,30.0,23.14,7.0,1,3,False,35.8397815652299,128.7522565321,393.0,140.0,124.0,306.0,1688.0,38.0,203.0,True,True,False,None
100,30.0,23.14,6.0,4,4,False,35.8394972694711,128.756193307235,468.0,149.0,38.0,100.0,2000.0,38.0,194.0,True,True,False,None
100,30.0,26.45,6.0,2,4,False,35.841308593750014,128.75582885742233,620.0,71.0,85.0,210.0,2052.0,49.0,169.0,False,True,False,None
70,25.0,23.14,6.0,2,3,False,35.84035080031026,128.75515212652513,498.0,123.0,25.0,198.0,1951.0,83.0,139.0,False,False,False,None
200,35.0,23.14,7.0,3,3,False,35.83932495117189,128.75253295898483,340.0,101.0,80.0,258.0,1688.0,39.0,228.0,True,True,False,None
100,32.0,23.14,6.0,4,4,False,35.8394972694718,128.756193307234,468.0,149.0,38.0,100.0,2000.0,38.0,194.0,False,True,False,None
150,33.0,23.14,6.0,4,4,False,35.83908753303081,128.75477457810248,357.0,36.0,83.0,100.0,1864.0,109.0,235.0,True,True,False,None
