id,lat,lng
47936737,35.8389804903939,128.751216554929
47936672,35.8392217870554,128.759495008596
47936658,35.8396556699783,128.759237105316
47936637,35.8398019543371,128.755877866084
47935180,35.8226851105192,128.757263283958
47935136,35.823190757478,128.754708653194
47934540,35.8160530759713,128.763072091114
47934217,35.8324453027471,128.745888619883
47934174,35.8382278221322,128.757877784884
47933647,35.8352108505406,128.732792562365
47933393,35.8405315896811,128.754089246444
47932630,35.8442644772357,128.750853512402
47932489,35.84308389377051,128.7639511735884
47932272,35.8430837825354,128.763952609876
47931331,35.8381340814356,128.766174085256
47929703,35.8388823282042,128.754016849471
47928965,35.8388823282042,128.754016849471
47928941,35.8393039567623,128.752924536221
47928902,35.84473063408803,128.75709915740967
47928784,35.8404827915643,128.753184990027
47928747,35.8406172765709,128.753626980724
47928745,35.8407644449356,128.756654522964
47928719,35.838725063147,128.753598381379
47928579,35.8323153741313,128.708146527995
47928454,35.8175755764869,128.759078078945
47928287,35.8432223277009,128.754651964021
47928254,35.8212772994092,128.752214219578
47928193,35.8380704794718,128.756572093403
47928180,35.8445874850553,128.751567502792
47928174,35.8398638423636,128.75126740603
47927839,35.8414392637129,128.762618341819
47927826,35.8386709827854,128.757465920057
47927687,35.8377213457097,128.757911649358
47927544,35.840482791565,128.753184990027
47927467,35.8389804903939,128.751216554929
47927447,35.8215002216791,128.75540124409
47927444,35.8215002216791,128.75540124409
47927439,35.8215002216791,128.75540124409
47927422,35.8222623889361,128.755895020969
47927417,35.8222623889361,128.755895020969
47927416,35.8222623889361,128.755895020969
47927407,35.8202504558958,128.756516987891
47927404,35.8202504558958,128.756516987891
47927401,35.8202504558958,128.756516987891
47927390,35.8215678379678,128.755244844025
47927388,35.8215678379678,128.755244844025
47927387,35.8215678379678,128.755244844025
47927381,35.8215678379678,128.755244844025
47927373,35.8210304603124,128.755864120309
47927372,35.8210304603124,128.755864120309
47927368,35.8396585497473,128.756435134109
47927361,35.8206883606528,128.756630863438
47927359,35.8206883606528,128.756630863438
47927357,35.8206883606528,128.756630863438
47927354,35.8206883606528,128.756630863438
47927350,35.8215617430773,128.757277242412
47927342,35.8215617430773,128.757277242412
47927340,35.8215617430773,128.757277242412
47927331,35.8211290753466,128.755639916012
47927326,35.8206483628293,128.755563274142
47927324,35.8206483628293,128.755563274142
47927322,35.8206483628293,128.755563274142
47927315,35.8200187284765,128.756359970055
47927314,35.8200187284765,128.756359970055
47927312,35.8215617430766,128.757277242413
47927310,35.8200187284765,128.756359970055
47927305,35.8215002216791,128.75540124409
47927296,35.8215678379671,128.755244844025
47927291,35.8233251312041,128.754417512895
47927288,35.8233251312041,128.754417512895
47927282,35.8233251312041,128.754417512895
47927277,35.8222623889361,128.755895020969
47927270,35.8216829867977,128.757699478556
47927259,35.8210304603124,128.755864120309
47927255,35.8206883606521,128.756630863439
47927250,35.8215617430773,128.757277242412
47927246,35.8206483628293,128.755563274142
47927236,35.8200187284765,128.756359970055
47927227,35.8233248697366,128.754404561486
47927222,35.82112807638053,128.7556404472357
47927211,35.8220893156447,128.756651117044
47927208,35.8236163187539,128.75383494861
47927205,35.8210304603124,128.755864120309
47927203,35.82024300647532,128.7565149428241
47927198,35.8216829867977,128.757699478556
47927136,35.83862215248308,128.75430837434982
47927029,35.8397815652299,128.7522565321
47926690,35.8394972694711,128.756193307235
47926684,35.841308593750014,128.75582885742233
47926661,35.84035080031026,128.75515212652513
47926658,35.83932495117189,128.75253295898483
47926655,35.8394972694718,128.756193307234
47926646,35.83908753303081,128.75477457810248
47926642,35.841507849885105,128.7583561188615
47926640,35.8401738381707,128.756716863726
47926637,35.839650927618,128.75642024702
47926627,35.838730296104,128.755171531912
47926620,35.8391053339625,128.754777404951
47926619,35.8397815652292,128.7522565321
47926538,35.8226851105199,128.757263283958
47926532,35.8226851105199,128.757263283958
47926529,35.8226851105199,128.757263283958
47926384,35.8212893435649,128.756228640919
47926344,35.8212893435649,128.756228640919
47926292,35.8217859014161,128.757655941286
47926289,35.8217859014161,128.757655941286
47926274,35.8217859014161,128.757655941286
47926264,35.8217859014161,128.757655941286
47926255,35.8217859014161,128.757655941286
47926242,35.8217859014161,128.757655941286
47926229,35.8261563251768,128.735757294513
47926206,35.8145573028903,128.753895858032
47926199,35.8217859014161,128.757655941286
47926185,35.8217859014161,128.757655941286
47926088,35.82107541791,128.755414459848
47926026,35.8220226163625,128.757742927794
47926024,35.8220226163625,128.757742927794
47926023,35.8220226163625,128.757742927794
47926019,35.8215617430766,128.757277242413
47925466,35.8388113370622,128.754342753277
47925452,35.8399191547018,128.75240564293
47925441,35.8399191547018,128.75240564293
47925429,35.8396372080349,128.75314579383
47925332,35.8382692602157,128.75026854551
47925137,35.8209350246449,128.756986596002
47925131,35.8212893435649,128.756228640919
47925119,35.8212893435649,128.756228640919
47925073,35.8412567991202,128.764698356347
47924931,35.83736659372098,128.7514255364471
47924861,35.8429280801082,128.755610114606
47924805,35.8212893435649,128.756228640919
47924758,35.8212893435649,128.756228640919
47924736,35.8212893435649,128.756228640919
47924688,35.8234871028861,128.753871606094
47924684,35.8234871028861,128.753871606094
47924550,35.8212893435649,128.756228640919
47924252,35.842727222319,128.754555173491
47923741,35.8383906317526,128.764628660042
47923678,35.8295797419104,128.739537499822
47923672,35.826258389293,128.727637283352
47923605,35.8152659054432,128.72782200727
