보증금,월세,전용면적,노후도,해당층,전체층,엘리베이터,위도,경도,지하철역_거리(m),세탁소_거리(m),카페_거리(m),약국_거리(m),대형마트_거리(m),편의점_거리(m),버스정류장_거리(m),남향,풀옵션,is_outlier,outlier_reason,PC1,PC2,PC3,PC4,cluster
200,33.0,26.45,6.0,3,3,False,35.8389809379276,128.754144629484,322.0,52.0,30.0,118.0,1807.0,63.0,222.0,False,True,False,,-1.943304679929199,-0.07240529311376893,0.4915646051785798,0.4063555531273622,1
150,32.0,26.45,6.0,2,4,False,35.8386689234398,128.758481141697,573.0,362.0,94.0,87.0,2165.0,104.0,159.0,True,True,False,,0.005025003347690674,0.018890052789060575,-0.5819121273707778,-0.5231089705722136,3
200,35.0,26.45,6.0,3,3,False,35.8394776528494,128.753581859678,362.0,31.0,0.0,193.0,1782.0,48.0,179.0,False,True,False,,-2.047767736723096,0.270682801404055,-0.05130429285862283,0.4760711902248978,1
200,38.0,26.45,6.0,3,3,False,35.8373442163169,128.75145846562,173.0,285.0,38.0,177.0,1517.0,105.0,215.0,False,True,False,,-0.9814924494735672,-1.054070312795959,-0.7065821794634012,0.24212571468884664,1
200,38.0,26.45,6.0,1,3,False,35.8385084277393,128.754524549135,290.0,94.0,61.0,57.0,1821.0,114.0,180.0,True,True,False,,-1.3698024313132262,0.0275996942538629,0.23868813862060337,0.8584007455527112,3
150,36.0,29.75,11.0,3,3,False,35.8388276039833,128.754715952571,329.0,61.0,63.0,74.0,1849.0,117.0,219.0,True,True,False,,-1.3973557868662647,-0.14767263760485802,0.7193810741995531,0.903043490905064,3
200,35.0,29.75,13.0,4,4,False,35.8387171285435,128.75527715104,348.0,97.0,34.0,59.0,1892.0,109.0,224.0,True,True,False,,-1.5551509896609956,-0.020361780295843374,0.4306448836783214,0.731231336524766,3
100,30.0,29.75,26.0,2,3,False,35.8412074083334,128.752399014115,550.0,249.0,220.0,409.0,1776.0,30.0,132.0,True,True,False,,0.6541590135110928,-1.102538365430704,0.2053114137440392,-1.142284838026589,3
100,27.0,29.75,7.134969325153374,2,3,False,35.8411683218776,128.752002061001,549.0,264.0,232.0,428.0,1743.0,31.0,168.0,True,True,False,,0.7725083477218405,-1.489648389733763,0.4969700791825331,-1.2754347472623269,3
200,35.0,20.0,6.0,3,3,False,35.8399592628338,128.753424133811,413.0,86.0,56.0,243.0,1791.0,100.0,129.0,False,True,False,,-0.9133292326032714,0.13941484957480818,-0.3002158105033206,0.8053007094135315,1
100,25.0,26.44,11.0,1,4,False,35.8405656533684,128.756210997979,565.0,152.0,41.0,126.0,2047.0,47.0,173.0,True,True,False,,-1.3443912626672747,0.42545849842592703,-0.05823455550008961,-0.24448781107751133,3
200,32.0,33.06,24.0,2,3,False,35.8435981662031,128.74944458189,870.0,225.0,73.0,783.0,1723.0,45.0,110.0,True,True,False,,0.8989393662471149,-0.724547242882815,-1.2019314509239012,-0.46777012802132634,3
100,30.0,29.75,6.0,1,3,False,35.8212824087436,128.756228377476,1695.0,68.0,117.0,163.0,2277.0,56.0,135.0,True,True,False,,-0.06501400452662441,1.410262864469349,1.0400875318161016,-0.17086113513534876,3
70,25.0,33.0,6.0,3,3,False,35.8432845895802,128.750254028479,814.0,304.0,89.0,710.0,1754.0,58.0,68.0,False,False,False,,1.1696730253824188,-0.5673525601027882,-1.7036078552104885,-0.5601628305962238,2
70,22.0,33.0,6.0,3,3,False,35.8434848130169,128.749400699576,860.0,224.0,71.0,776.0,1712.0,54.0,101.0,False,False,False,,0.9287474204727044,-0.6695595774501482,-1.2907982014105146,-0.32407916249928864,2
100,35.0,33.05,6.0,3,3,False,35.84066010522546,128.75519878373206,531.0,108.0,52.0,207.0,1969.0,62.0,124.0,True,False,False,,-1.0769276824986815,0.514913012751472,-0.3076251253769946,0.18658958847580198,2
100,30.0,30.0,6.0,2,3,False,35.8214473669905,128.75585482681,1671.0,71.0,81.0,137.0,2239.0,58.0,131.0,True,True,False,,-0.377230746644475,1.5853174135843489,0.7215779307348803,-0.0082081765213446,3
60,21.0,20.0,7.0,2,3,False,35.8394036377066,128.759574723052,698.0,453.0,111.0,146.0,2283.0,39.0,92.0,False,True,False,,0.28928443707643836,0.3683553589231926,-1.3175289211797525,-1.632247267051362,1
100,23.0,33.06,17.0,3,4,False,35.8406102004132,128.765517046792,1239.0,56.0,94.0,141.0,2834.0,65.0,125.0,True,False,False,,-0.24138446706486694,1.9227071923076242,0.8931560256246497,-0.3013042949172801,2
200,30.0,33.06,6.0,2,4,False,35.8192741435723,128.748901406687,1794.0,159.0,73.0,390.0,1945.0,151.0,34.0,True,False,False,,1.211230135316172,1.334191419831277,-0.8036537501989717,1.1226304154940148,2
200,33.0,20.0,6.0,3,4,False,35.840091324207,128.759578183537,740.0,435.0,42.0,116.0,2309.0,83.0,58.0,True,True,False,,0.09818532827227648,1.0139074776121566,-2.0000107502242086,-0.7820975556232898,3
